"Fournisseur";"Code fournisseur";"Designation fournisseur";"Article propose";"Confiance";"Valider O/N";"Si a corriger: bon article"
"Sapam";"FR";"HCIBOULETTE FR BOQ100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"FR";"HCIBOULETTE FR BQ100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"FR";"HCIBOULETTE FR BQ100G I SOLIPLANT";"Ciboulette";"haute";"";""
"Sapam";"FR";"HCIBOULETTE FR SACH100G I SOLIPLANT";"Ciboulette";"haute";"";""
"Sapam";"FR";"VG CHOUCROUTE CRUE ALS SEAU10K";"Choucroute";"haute";"";""
"Sapam";"FR";"VG CHOUCROUTE CRUE ALS SEAU1LOK";"Choucroute";"haute";"";""
"Sapam";"FR";"VG CHOUCROUTE CRUE ALS SEAU1OK";"Choucroute";"haute";"";""
"Sapam";"MA";"HCIBOULETTE MA BO100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"MA";"HCIBOULETTE MA BOQ100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"MA";"HCIBOULETTE MA BQ100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"MA";"HCIBOULETTE MA SACH100G I AUDA";"Ciboulette";"haute";"";""
"Sapam";"";"AUBERGINE ES M";"Aubergine";"haute";"";""
"Sapam";"";"AUBERGINE ES";"Aubergine";"haute";"";""
"Sapam";"";"AUBERGINE HVE3 ALS 5KG";"Aubergine";"haute";"";""
"Sapam";"";"AUBERGINE MIDI 6KG";"Aubergine";"haute";"";""
"Sapam";"";"CONCOMBRE ALS 4/5";"Concombre";"haute";"";""
"Sapam";"";"CONCOMBRE MIDI 4/5";"Concombre";"haute";"";""
"Sapam";"";"COURG.BUTTERNUT HVE3 ALS 10KG";"Butternut";"haute";"";""
"Sapam";"";"COURGETTE ES 14/21";"Courgette";"haute";"";""
"Sapam";"";"COURGETTE FR 14/21 10KG";"Courgette";"haute";"";""
"Sapam";"";"COURGETTE MIDI 14/21 9KG";"Courgette";"haute";"";""
"Sapam";"";"Echalotes";"Echalotes";"haute";"";""
"Sapam";"";"MIRABELLE ALL";"Mirabelle";"haute";"";""
"Sapam";"DE";"MIRABELLE ALL I";"Mirabelle";"haute";"";""
"Sapam";"ES";"AUBERGINE ES I";"Aubergine";"haute";"";""
"Sapam";"ES";"AUBERGINE ES M I CC";"Aubergine";"haute";"";""
"Sapam";"ES";"COURGETTE ES 14/21 I PLAST";"Courgette";"haute";"";""
"Sapam";"FR";"AUBERGINE HVE3 ALS 5KG I";"Aubergine";"haute";"";""
"Sapam";"FR";"AUBERGINE MIDI 6KG I";"Aubergine";"haute";"";""
"Sapam";"FR";"CONCOMBRE ALS 4/5 I X12";"Concombre";"haute";"";""
"Sapam";"FR";"CONCOMBRE MIDI 4/5 I X12";"Concombre";"haute";"";""
"Sapam";"FR";"COURG.BUTTERNUT HVE3 ALS 10KG I K QO.11 1.1";"Butternut";"haute";"";""
"Sapam";"FR";"COURG.BUTTERNUT HVE3 ALS 10KG I";"Butternut";"haute";"";""
"Sapam";"FR";"COURGETTE FR 14/21 10KG I";"Courgette";"haute";"";""
"Sapam";"FR";"COURGETTE MIDI 14/21 9KG I SAPAM";"Courgette";"haute";"";""
"Sapam";"FR";"MIRABELLE ALS 5KG I";"Mirabelle";"haute";"";""
"Sapam";"";"QUETSCHE ALL 10KG";"Quetsche";"haute";"";""
"Sapam";"";"QUETSCHE HVE3 ALS 6KG";"Quetsche";"haute";"";""
"Sapam";"";"Rhubarbe";"Rhubarbe";"haute";"";""
"Sapam";"DE";"QUETSCHE ALL 10KG I";"Quetsche";"haute";"";""
